,words
0,indung
1,alang
2,musing
3,indung
4,alang
5,musing
6,king
7,kekang
8,awus
9,arap
10,ning
11,altar
12,mu
13,nio
14,ke
15,dudurup
16,ave
17,ave
18,ave
19,maria
20,ave
21,ave
22,ave
23,maria
24,panalangin
25,mi
26,ya
27,bansa
28,ming
29,beitan
30,at
31,ding
32,sablang
33,bansa
34,diyan
35,mong
36,kapayapan
37,ave
38,ave
39,ave
40,maria
41,ave
42,ave
43,ave
44,maria
45,birhen
46,ning
47,fatima
48,birhen
49,ning
50,fatima
51,ni
52,ke
53,makasiklawud
54,ban
55,adwan
56,kekang
57,kasaupan
58,payapa
59,sa
60,ing
61,labuad
62,indu
63,ituru
64,mu
65,kami
66,ing
67,dalan
68,ming
69,tukyan
70,keka
71,babie
72,ning
73,lugud
74,mi
75,at
76,rosario
77,keka
78,yampang
79,pengaku
80,mu
81,fatima
82,baling
83,patalip
84,ka
85,ing
86,saupan
87,mu
88,keng
89,parati
90,nung
91,mangadi
92,kami
93,indu
94,king
95,balang
96,aldo
97,tayran
98,mu
99,ke
100,sana
101,ban
102,payapa
103,ya
104,ing
105,yatu
106,at
107,pantualu
108,mu
109,keng
110,sabla
111,indu
112,dalangin
113,mu
114,ya
115,indu
116,dalangin
117,mu
118,ya
119,ing
120,lulutang
121,king
122,dusa
123,pablasang
124,ining
125,kabyayan
126,na
127,mibusal
128,kening
129,sigwa
130,indung
131,birhen
132,maria
133,mipnu
134,ka
135,king
136,gracia
137,aku
138,pung
139,magsakdal
140,keka
141,ampunan
142,mu
143,ku
144,sana
145,indung
146,mal
147,damdaman
148,mu
149,manigapung
150,aklis
151,ku
152,sawpan
153,mu
154,ku
155,sawpan
156,mu
157,ku
158,angga
159,pu
160,keng
161,babo
162,indung
163,virgen
164,indung
165,birhen
166,mamung
167,santungan
168,ku
169,damdam
170,ka
171,sana
172,king
173,aklis
174,ku
175,indu
176,sabyan
177,mu
178,ing
179,daptan
180,ku
181,ref
182,lupa
183,mu
184,cang
185,hesus
186,makawili
187,lalam
188,ning
189,mantu
190,mung
191,tahimik
192,takde
193,mu
194,kang
195,hesus
196,makakawul
197,indu
198,mantabe
199,ka
200,kaku
201,kekang
202,reyna
203,mu
204,ke
205,pabustan
206,saupan
207,mu
208,kami
209,king
210,labanan
211,at
212,kaibat
213,mi
214,keting
215,kakarinan
216,king
217,banwa
218,ke
219,ngan
220,tupunan
221,ref
222,lupa
223,mu
224,kang
225,hesus
226,ave
227,de
228,fatima
229,niang
230,rece
231,ya
232,ing
233,mayo
234,ing
235,birhen
236,maria
237,tinipa
238,ya
239,karin
240,king
241,cova
242,de
243,iria
244,ave
245,ave
246,ave
247,maria
248,aku
249,ing
250,senora
251,ning
252,santo
253,rosaryo
254,ngana
255,karing
256,anak
257,keka
258,dinalo
259,ave
260,ave
261,ing
262,mais
263,ku
264,imbut
265,ngana
266,pin
267,karala
268,ing
269,santo
270,rosaryo
271,pangadian
272,ye
273,sana
274,ave
275,ave
276,ding
277,makasalanan
278,tutu
279,nong
280,merangal
281,pangadi
282,yo
283,sana
284,balang
285,mangumpisal
286,ave
287,ave
288,ngeni
289,atyu
290,keto
291,ban
292,ipatupad
293,na
294,ing
295,bilin
296,na
297,karin
298,king
299,cova
300,de
301,iria
302,ave
303,ave
304,eta
305,sasalanan
306,ing
307,pamagrosario
308,king
309,pamilya
310,tamu
311,kilub
312,ning
313,aldo
314,aldo
315,ave
316,ave
317,dalit
318,bayu
319,ya
320,ilako
321,ing
322,laruan
323,miras
324,na
325,ing
326,paglako
327,mu
328,keti
329,keting
330,malukang
331,karinan
332,mi
333,indung
334,malugud
335,kekami
336,antabayanan
337,mu
338,ke
339,sang
340,parati
341,kasampat
342,na
343,kaligaya
344,ning
345,bie
346,magrosarying
347,mipapamilya
348,ing
349,guinung
350,diyos
351,kekang
352,grasya
353,karin
354,alang
355,lipat
356,babie
357,nay
358,magrosaryo
359,ke
360,aldo
361,aldo
362,indu
363,na
364,ning
365,pakalulu
366,ban
367,ing
368,pamikalugud
369,tamu
370,masese
371,ban
372,payapa
373,ya
374,ing
375,yatu
376,ref
377,kasampat
378,na
379,virgen
380,de
381,los
382,remedios
383,official
384,hymn
385,indu
386,ming
387,virgen
388,kekeng
389,patulunan
390,ikang
391,minie
392,tula
393,ampong
394,kapayapan
395,king
396,indu
397,ming
398,balen
399,kekeng
400,lalawigan
401,uling
402,kalimbun
403,mu
404,kareng
405,sablangdalan
406,ding
407,barios
408,at
409,purok
410,kareng
411,kabalenan
412,agad
413,menatili
414,king
415,katahimikan
416,ii
417,ding
418,sablang
419,pisamban
420,ampon
421,ding
422,bisitas
423,kekang
424,delawan
425,virgen
426,maslag
427,ding
428,anggang
429,memalen
430,pigdala
431,mung
432,lamak
433,metula
434,lang
435,dakal
436,keka
437,pasalamat
438,kasalpantayanan
439,miunlad
440,milablab
441,ing
442,pamikalugud
443,agad
444,linaganap
445,koro
446,virgen
447,delos
448,remedios
449,damdam
450,ka
451,kingkekeng
452,aus
453,iligtas
454,mu
455,ke
456,ikabus
457,king
458,sablang
459,tuksu
460,at
461,marok
462,ibie
463,mu
464,ing
465,kekang
466,lunus
467,panalangin
468,mu
469,ke
470,king
471,dios
472,sulu
473,sulu
474,na
475,ka
476,ning
477,meto
478,lelangan
479,ika
480,ing
481,bulaclac
482,sari
483,king
484,leguan
485,anie
486,pin
487,mo
488,meto
489,ketawan
490,dururup
491,king
492,kekang
493,kabanalan
494,coro
495,indu
496,ning
497,dios
498,malunus
499,ca
500,sa
501,carening
502,alipan
503,mu
504,patawad
505,co
506,pu
507,kecami
508,indu
509,virgen
510,ning
511,pakalulu
512,pamun
513,kantang
514,pamamaalam
515,sa
516,virgen
517,delos
518,remedios
519,at
520,sto
521,cristo
522,del
523,pardon
524,mamun
525,na
526,ke
527,ngeni
528,indung
529,malugud
530,at
531,keka
532,jesus
533,ko
534,king
535,sala
536,menatbus
537,at
538,bayu
539,ke
540,sana
541,kekayu
542,gumulut
543,bendisyunan
544,yu
545,ke
546,sa
547,king
548,kalam
