,word,frequency
3,ing,2441
30,at,1505
254,na,1401
1,nang,1295
13,king,1081
139,ya,1078
91,ning,852
55,ne,605
242,mu,600
102,yang,583
56,ding,463
108,gloria,455
971,gerardo,409
668,ruben,365
294,ku,363
135,la,360
16,neng,345
498,qfig,335
2,ester,334
92,metung,306
156,cu,275
1194,pu,273
447,dapot,265
88,da,262
68,nung,256
647,dimas,246
63,pa,227
189,anti,217
136,ring,217
670,oscar,214
632,man,200
6490,kang,193
662,pin,180
799,yu,175
287,kung,169
614,qng,158
504,uling,158
70,lang,154
2472,juana,145
85,ban,138
50,buak,130
693,ra,129
6552,kayang,128
4,no,127
646,cang,125
238,mung,124
69,ala,123
672,alang,121
617,qnig,120
575,sablang,115
24,caring,114
695,layun,114
67,niti,113
394,cung,112
1483,quintina,112
6643,saka,112
180,ca,109
271,karing,109
419,de,107
223,me,104
277,iti,103
1188,nanu,100
398,ka,99
18,tolentino,99
155,balen,97
6682,karin,94
1226,cayang,91
221,naman,88
486,buac,88
265,ke,88
344,atin,88
1380,saca,86
6698,ko,86
771,ye,86
17,aurelio,85
896,bale,85
481,que,84
1305,uli,83
53,ng,82
482,gamat,80
1865,pung,79
1264,balu,78
266,abe,77
190,mo,77
692,bie,77
1056,babayi,75
898,luis,74
6587,kaya,73
230,yung,72
322,dalan,72
6558,bangke,71
252,sulat,71
1195,figana,70
785,nune,70
352,co,70
1240,figanang,68
64,mang,68
71,lub,66
968,aduang,66
791,malyari,66
620,tau,65
631,tulisan,63
569,mong,63
546,caya,62
1342,inyang,62
6525,maki,61
3153,imalan,61
197,buri,60
696,nong,60
6,rin,60
215,kanaku,60
954,carin,60
99,qig,60
892,ita,59
175,dang,59
1074,bigla,59
304,ta,58
463,yan,58
872,qing,58
1520,inya,57
1388,pablasang,57
1147,sana,56
586,nu,56
2428,gubat,56
318,taung,56
715,figeni,55
580,tutu,55
1077,mata,55
1425,ngana,54
5290,fiscal,54
1623,ninu,54
777,agpang,52
95,bagyu,51
1298,pesus,51
1176,nganang,50
310,pang,50
869,ibat,50
974,adua,49
1182,paquibat,49
554,mesabing,49
640,ating,49
1205,doctor,48
311,aliwa,48
1321,sinabi,48
6683,pakibat,48
1274,ali,48
713,ngeni,48
6701,kutang,48
2971,panyu,47
494,maqui,47
854,sabla,47
6713,aku,46
770,lalu,46
1795,pati,46
6690,keti,45
794,matua,44
2151,babo,44
2962,ping,44
1206,wa,44
468,qiig,44
2279,re,44
2117,linapit,43
3187,iyas,43
2546,sabian,43
21,fling,43
7251,ikit,43
7310,buntuk,42
1139,maragul,41
1416,malyaring,41
652,salu,41
1003,atiyu,41
236,di,41
975,namang,40
678,queti,40
852,lalung,39
1461,libung,39
1011,bitis,38
2766,batu,38
49,in,38
321,keng,37
947,queta,37
6156,miasawang,37
149,bangque,36
96,pusu,36
6711,kaibat,36
636,dapat,36
1414,cutang,36
74,an,35
103,batal,35
143,babaying,35
3896,mete,35
1290,tune,35
1120,anyu,35
6562,ukuman,34
1533,aliwang,34
1959,lagyu,34
6725,akit,34
441,aldo,34
6924,sukat,34
6604,keta,34
2234,utus,34
448,ining,33
2396,revolver,33
533,ini,33
704,itang,33
822,laman,33
2162,tambing,33
400,nanung,32
7,anggang,32
339,ketang,32
7306,saksi,32
7477,kabaung,32
90,qfg,32
79,ang,31
6736,bakit,31
1715,pibitayan,31
4431,deti,31
6728,kabang,31
1458,queca,31
1207,mayap,31
740,tamu,31
1262,igana,31
1143,deng,30
337,ba,30
6739,ika,30
1026,limang,30
7075,kanita,30
52,bandi,30
78,mi,30
427,panaun,29
6594,dakal,29
161,niting,29
584,bista,29
820,acu,29
6599,makanyan,29
545,disan,29
1048,quetang,28
6565,gulisak,28
783,bisang,28
7252,dikil,28
5395,lihim,28
1847,arapan,28
671,pawang,28
6787,keka,28
3702,agad,28
243,bayu,28
3188,ila,28
596,calulung,27
1067,rang,27
6566,kasalanan,27
390,iting,27
555,muna,27
6592,ditak,27
2855,sasabian,27
6573,bunduk,27
1297,masanting,27
2304,bulsa,27
3405,panyung,27
1145,ma,27
106,capalsintan,27
4297,yapin,27
2182,lupa,26
1055,atlung,26
6991,keni,26
1075,linub,26
222,balang,26
3240,tiglung,26
1992,cabang,26
1017,angga,26
3120,mabie,26
2723,mine,26
60,anak,26
5177,dinatang,26
6804,kakung,25
1083,fi,25
1257,salamat,25
1742,dios,25
5043,baril,25
778,sabi,25
1189,ulit,25
739,amanu,25
897,capitang,25
6922,kabud,25
144,lalaqui,24
6656,panakit,24
1690,mabilug,24
988,ai,24
6678,kayu,24
426,figening,24
3085,misan,24
6805,kabayu,24
1313,opu,23
2328,it,23
1741,niganang,23
7047,akikilala,23
824,ilang,23
6586,bage,23
324,bulan,23
1719,asawa,23
1731,lele,23
548,dacal,23
857,queng,23
1209,anac,23
1243,cayu,23
3459,malda,23
978,dane,23
6835,kanu,23
5279,milyari,23
1346,iganang,23
1763,gobernador,22
2501,oras,22
6536,kong,22
1362,cabayu,22
375,miras,22
1832,fganang,22
7216,pahayagan,22
6758,kekayu,22
2343,dela,22
812,dili,22
1314,macanyan,22
5248,juez,22
1356,sanang,21
567,lugud,21
1639,wari,21
4916,gabun,21
1225,pasibayu,21
755,tula,21
779,lalam,21
362,waring,21
887,banua,21
1753,alus,21
1218,luid,21
2204,duldul,21
1716,mate,21
6771,kamatayan,21
833,cacung,20
1281,cong,20
505,cabud,20
1211,agyang,20
1541,ngening,20
1532,lasip,20
7513,ukum,20
3542,nigana,20
3199,susulud,20
5167,marayu,20
624,laban,20
917,bayung,20
2848,matulid,20
1178,panyatang,20
1175,baquit,20
834,sarili,20
1872,depatan,19
1069,palacpacan,19
1307,befigi,19
94,ii,19
953,bina,19
1047,libutad,19
6769,mabite,19
728,yatu,19
2665,singsing,19
5041,tabalu,19
675,bague,19
1447,quecayu,19
401,daptan,19
6715,ikayu,19
3670,tana,18
908,pawa,18
118,bucas,18
1828,samsaman,18
3581,abalu,18
2253,mercedes,18
198,ibie,18
1428,ditac,18
726,miuman,18
746,anting,18
7377,kataksilan,18
661,lubus,18
6575,lalaki,18
2240,datang,18
5035,sugat,18
487,caibat,18
991,pilatan,18
839,cacu,18
648,miligtas,18
152,nan,18
853,malati,18
3174,batung,18
689,sucat,17
19,bantug,17
1285,pulung,17
625,malambing,17
2846,atul,17
3369,tatalanan,17
6627,aske,17
1413,malugud,17
2074,ung,17
2291,queni,17
123,abogadong,17
2039,pota,17
3720,lalbe,17
3319,ibili,17
847,figan,17
2273,mapilan,17
2287,ri,17
893,ica,17
6967,mekad,17
1273,canacu,17
979,gugulutan,17
5039,nayun,17
1794,magdala,17
380,nita,17
1201,daralan,17
1009,malapit,17
1685,nining,17
2506,talagang,17
1426,buring,16
5119,paralan,16
1331,icayu,16
6295,pegumasdan,16
1950,ati,16
3483,daya,16
497,babie,16
6810,katawan,16
31,napun,16
1415,ah,16
6737,sakaling,16
1336,malagwa,16
1642,matas,16
1703,malalam,16
3708,manawang,16
1542,quen,16
1555,dimdam,16
2524,arung,16
5950,iyang,16
235,saguli,16
901,lalawigan,16
1510,aquit,16
7021,inukul,16
2978,bisa,16
6569,dangkang,16
4370,nasa,16
420,bala,16
1546,lalaquing,16
80,upaya,16
3034,panaquit,15
1793,irig,15
7146,sukulan,15
280,kanitang,15
363,maguing,15
2274,general,15
2437,dutung,15
2251,matalic,15
345,tang,15
751,sala,15
679,palagyuan,15
334,nanan,15
1117,gulut,15
2176,melaus,15
3407,binili,15
6075,pete,15
2275,constabulario,15
43,menila,15
1144,maluca,15
392,akakit,15
649,bunduc,15
3082,balita,15
1598,gagalgal,15
1177,capitan,15
3094,matuling,15
458,pami,15
1302,ro,15
6816,kapitan,15
5306,panintunan,15
899,gatsalian,15
2341,malating,15
871,ald,15
1713,aun,15
2125,tuqui,14
6971,dakpan,14
3028,mabilis,14
341,ming,14
6775,mekamate,14
706,quecatamung,14
7228,tumakas,14
1142,pilubluban,14
1312,yo,14
6830,mibalik,14
685,carelang,14
2502,mausta,14
4167,gulisac,14
3724,lua,14
1372,buntuc,14
3882,matwa,14
768,inda,14
111,sari,14
3697,inaus,14
939,tunggal,14
3760,paburen,14
1329,canita,14
1084,ganang,14
6664,karelang,14
2969,oini,14
931,pasbul,14
41,sa,14
1985,paten,14
982,eran,14
3607,guinung,13
3901,tatang,13
524,ia,13
6584,masikan,13
1686,catawan,13
3719,butul,13
1521,minurung,13
6578,maging,13
1222,masican,13
1131,bapa,13
4269,pilit,13
1365,bagya,13
6494,maring,13
5253,policia,13
250,kaku,13
7296,saksing,13
673,carela,13
4354,copa,13
1563,tipa,13
2124,tegal,13
3817,simsam,13
1869,galang,13
969,mame,13
2158,amanung,13
970,silid,13
703,balung,13
750,panulu,12
7068,meko,12
8,novela,12
1054,ipus,12
3148,brillante,12
1806,al,12
1383,dening,12
5533,iyan,12
2473,salapi,12
7547,pisakit,12
973,wanan,12
6829,kapilan,12
6916,maigit,12
851,tibuan,12
5249,paz,12
1870,meco,12
618,capatad,12
1650,labi,12
1267,yeng,12
7223,titik,12
1879,pagdiwatan,12
1660,dalaga,12
4602,inarap,12
5083,dininan,12
3107,tacde,12
1237,tinipa,12
1729,mibalic,12
3019,begut,12
6996,kukutang,12
5677,binie,12
1557,oh,12
6167,cabaung,12
23,sinulat,12
2463,patipati,12
1184,do,11
1420,po,11
3508,ausan,11
2616,pi,11
2464,binulus,11
2116,milayi,11
600,binang,11
5800,atlu,11
6238,ganid,11
666,bite,11
1141,masampat,11
7282,ukulan,11
1701,atilu,11
1728,malale,11
2446,papel,11
3256,meili,11
1341,tinupad,11
2312,iquit,11
1892,tinagal,11
1001,nitang,11
1663,nandin,11
1856,tinas,11
1200,nigeni,11
1271,maiguit,11
3278,tiru,11
5232,daratang,11
2244,pisan,11
514,qu,11
2537,sabing,11
6591,lalaking,11
6796,pigaganakan,11
5337,muli,11
