,word,frequency
0,king,36176
1,pasimula,4
2,lelangan,157
3,ne,5267
4,ning,24757
5,dios,6009
6,ing,39599
7,banua,1298
8,at,31270
9,yatu,1085
10,ala,1895
11,yang,4958
12,kaayusan,20
13,tatakpan,23
14,na,33668
15,dalumdum,73
16,kalalalaman,32
17,kabang,786
18,tutiup,17
19,ya,14665
20,tutung,128
21,masikan,389
22,angin,197
23,babo,281
24,danuman,68
25,ngana,1990
26,mika,480
27,ating,1326
28,sala,195
29,linto,116
30,ikit,993
31,mayap,2263
32,kaybat,1837
33,kewani,14
34,inaus,245
35,neng,2740
36,aldo,1963
37,naman,1615
38,bengi,296
39,miras,672
40,dinatang,547
41,abak,171
42,ita,1081
43,mumunang,155
44,maragul,737
45,suklub,14
46,pilatan,104
47,da,11546
48,ring,6142
49,ban,3967
50,pikawanian,6
51,milyari,282
52,niti,387
53,danum,525
54,lalam,258
55,kaduang,129
56,mitipun,148
57,metung,4296
58,lugal,1148
59,palto,35
60,malanging,46
61,gabun,1118
62,dagat,442
63,kanita,1900
64,miyayaliwang,260
65,tanaman,557
66,balang,956
67,uring,34
68,bini,53
69,mamunga,53
70,butul,101
71,kilub,656
72,pepalto,14
73,la,15554
74,ding,17290
75,klasing,15
76,mamungang,43
77,katlung,111
78,mikawani,29
79,maging,1515
80,tanda,118
81,karing,9524
82,panaun,998
83,ampon,775
84,magsilbi,3
85,lang,5752
86,sulu,141
87,sikluban,21
88,aslagan,277
89,de,1653
90,aduang,980
91,sunlag,38
92,kareti,271
93,malati,80
94,batuin,107
95,binili,148
96,ikawani,13
97,kapat,66
98,lunto,73
99,dakal,1282
100,mabie,424
101,sulapo,15
102,ayup,186
103,inya,2585
104,asan,97
105,sablang,2724
106,kakawe,4
107,binendisyunan,74
108,karela,2560
109,magpakarakal,7
110,kayu,3414
111,katmuan,50
112,ye,905
113,ikayung,200
114,kalimang,36
115,nita,580
116,paburen,411
117,matunud,11
118,malyap,77
119,mangaragul,51
120,mangalati,26
121,animal,668
122,antimo,742
123,baka,285
124,miyayaliwa,43
125,pang,1047
126,gagapang,23
127,lalangan,5
128,ta,456
129,tau,3796
130,wangis,8
131,tamu,955
132,ila,1099
133,manibala,59
134,heganaganang,163
135,melalang,71
136,lalaki,1164
137,babai,791
138,bendisyunan,157
139,sakupan,60
140,mamahala,146
141,bage,1008
142,pa,2195
143,lawan,255
144,yu,5394
145,babie,559
146,ku,10301
147,kekayu,2092
148,mabilug,755
149,pamangan,511
150,berding,6
151,mabibie,145
152,linawe,68
153,tune,423
154,kanam,34
155,makanyan,1182
156,inari,67
157,atyu,1674
158,ayari,49
159,dapat,509
160,anam,296
161,pepaynawa,4
162,kapitung,100
163,depat,811
164,gewa,627
165,banal,656
166,uling,3054
167,aldong,334
168,pamaglalang,2
169,istoria,80
170,pangalalang,5
171,kanitang,627
172,ginung,1201
173,alang,2259
174,nanu,712
175,mang,528
176,dikut,120
177,tutubu,43
178,marangle,247
179,pepauran,12
180,taung,2650
181,manasik,6
182,oneng,3473
183,atin,1066
184,namang,662
185,sibul,90
186,manibatan,85
187,peparanuman,1
188,inubug,12
189,ibat,1006
190,alikabuk,89
191,pengisnawanan,3
192,arung,20
193,pangisnawa,38
194,bie,893
195,mibili,144
196,mulahan,125
197,karin,2599
198,eden,15
199,pepatubuan,2
200,makayamang,3
201,lalawan,91
202,maniaman,72
203,kakanan,65
204,libutad,347
205,beluan,148
206,tungkul,686
207,ilug,361
208,paranum,4
209,meging,635
210,apat,567
211,sanga,94
212,pison,2
213,lagyu,691
214,mumuna,112
215,mamagus,48
216,nang,9960
217,havila,6
218,nung,4161
219,nu,703
220,gintu,363
221,masanting,233
222,munamang,120
223,bedelio,2
224,mal,62
225,batung,154
226,onyx,10
227,gihon,5
228,cus,13
229,tigris,5
230,katlu,46
231,banda,101
232,asiria,150
233,eufrates,52
234,pepatuknangan,5
235,mula,18
236,gambulan,3
237,ingatan,176
238,nganang,1723
239,minutus,43
240,malyari,437
241,kang,4287
242,mangan,231
243,isanu,152
244,subali,180
245,mu,7946
246,ka,3399
247,mamangan,137
248,bunga,200
249,mate,620
250,kabud,268
251,mengan,122
252,magdili,47
253,dili,211
254,lalang,5
255,kung,2533
256,karapatdapat,146
257,akayabe,58
258,miyubug,12
259,dela,326
260,nanung,115
261,iyaus,3
262,lagyung,45
263,binie,726
264,dininan,319
