,word,frequency
6,ing,42040
0,king,37257
14,na,35069
8,at,32775
4,ning,25609
74,ding,17753
73,la,15914
19,ya,15743
47,da,11808
216,nang,11255
146,ku,10664
81,karing,9633
245,mu,8546
48,ring,6359
418,ginu,6157
5,dios,6034
85,lang,5906
3,ne,5872
144,yu,5569
11,yang,5541
57,metung,4602
241,kang,4480
218,nung,4417
359,anak,4155
49,ban,4105
129,tau,3861
246,ka,3498
182,oneng,3473
110,kayu,3438
166,uling,3212
35,neng,3085
1018,ari,2884
105,sablang,2839
273,iti,2766
180,taung,2706
255,kung,2702
197,karin,2693
103,inya,2642
287,ra,2581
108,karela,2566
265,man,2559
142,pa,2422
173,alang,2380
31,mayap,2294
147,kekayu,2114
343,kanaku,2055
323,inyang,2052
25,ngana,2044
10,ala,2018
36,aldo,1997
2349,israel,1947
63,kanita,1930
492,keka,1893
751,para,1886
32,kaybat,1837
284,mung,1824
238,nganang,1773
89,de,1760
1064,memalen,1709
37,naman,1703
157,atyu,1674
337,kekang,1659
374,uli,1647
4644,jesus,1629
307,anti,1591
300,sinabi,1556
544,karelang,1536
79,maging,1528
505,siudad,1439
344,ke,1382
27,ating,1375
598,dang,1343
840,bansa,1337
7,banua,1319
99,dakal,1311
383,angga,1303
289,ngeni,1296
456,aku,1254
155,makanyan,1211
172,ginung,1210
1010,sabian,1209
620,ngan,1201
490,itang,1196
136,lalaki,1182
183,atin,1154
58,lugal,1148
42,ita,1140
301,mi,1140
61,gabun,1139
132,ila,1127
432,ain,1127
370,me,1125
409,dalan,1114
9,yatu,1104
125,pang,1097
296,kayung,1081
306,balu,1071
396,sukat,1060
189,ibat,1056
274,kakung,1051
340,yung,1050
90,aduang,1046
1116,sundalus,1045
7518,david,1044
30,ikit,1036
141,bage,1031
82,panaun,1027
341,kayabe,1026
1905,kautusan,1023
1918,sasabian,1006
440,kasalanan,1000
562,mete,992
112,ye,991
539,bilang,989
131,tamu,986
66,balang,982
194,bie,970
558,aliwa,961
355,kapamilatan,958
972,balen,950
1312,kekayung,931
3187,moises,925
1158,pari,914
6684,jerusalem,913
322,sarili,908
1142,kalaban,892
1075,aring,890
1325,bale,851
789,potang,850
953,buri,848
399,kapilan,837
447,kapatad,823
867,ehipto,823
1029,iting,818
17,kabang,817
5026,templo,814
174,nanu,812
163,depat,811
554,lalaking,801
137,babai,792
278,tata,789
395,kalupa,787
148,mabilug,779
44,maragul,778
83,ampon,777
695,bunduk,764
219,nu,759
1933,kaku,757
122,antimo,746
263,binie,738
213,lagyu,725
726,gamat,709
1517,sabla,704
1013,sana,702
184,namang,702
2119,juda,698
39,miras,694
375,kailangan,693
281,asawa,690
206,tungkul,689
349,ika,685
304,daptan,685
538,aliwang,680
515,manuknangan,672
121,animal,668
622,lub,667
353,manibat,662
165,banal,657
547,lahi,657
71,kilub,656
535,pasibayu,642
171,kanitang,642
249,mate,641
209,meging,641
15842,cristo,638
1173,nune,636
1416,kami,634
164,gewa,631
2355,israelita,630
793,keti,629
1339,datang,620
470,ibie,617
443,pasbul,609
1097,laban,603
816,ipus,601
115,nita,597
175,mang,596
339,babaing,591
611,pamilya,590
614,ketang,587
210,apat,578
145,babie,575
1521,agyang,574
40,dinatang,573
451,minta,571
65,tanaman,564
607,pati,561
2492,tribu,554
455,mekibat,553
551,atlung,553
391,imalan,550
860,deti,550
1230,kanakung,550
317,rin,550
498,arapan,549
795,deting,548
159,dapat,545
475,malyaring,543
1066,migsalita,542
10030,judio,542
1280,detang,542
502,dane,536
352,kaniti,530
487,paten,530
991,pibandian,530
2193,makatua,529
53,danum,527
812,re,527
633,gawan,526
372,upaya,526
1592,pu,523
750,altar,522
1624,amanu,520
1059,pinili,520
299,keng,518
483,akit,516
533,pulu,515
457,wari,514
427,tupa,514
128,ta,514
767,makananu,513
149,pamangan,513
335,ninu,512
2070,anting,510
1243,nanumang,509
240,malyari,503
856,kayarian,501
3000,keya,501
52,niti,500
313,kabiasnan,491
325,deng,490
26,mika,485
563,limang,484
1569,manatili,480
437,mua,480
534,pitung,478
1497,pamuntuk,478
283,adua,476
377,ba,473
819,sa,469
1494,propeta,466
488,ninumang,462
10350,ester,460
153,tune,458
748,agpang,456
18125,gloria,455
328,dake,452
486,tuknangan,451
2114,ruben,451
285,katawan,450
100,mabie,450
293,tutu,449
453,pete,445
361,buntuk,444
1502,kekami,443
62,dagat,442
497,meko,440
943,ngara,440
1272,munaman,437
1802,mapilan,434
941,batu,433
583,di,428
116,paburen,425
2417,rang,425
2929,kamatayan,425
1262,mayupaya,420
1874,kesa,414
2764,espiritu,412
855,sanang,411
18702,gerardo,409
449,munta,408
2558,manimuna,408
2531,saul,407
1341,makiramdam,406
552,pulung,403
21,masikan,402
332,dimdam,402
678,utus,399
338,mo,398
561,bayu,392
610,lugud,391
628,dinan,389
1313,talasuyu,388
659,inutus,388
1349,tula,385
294,pin,384
857,babilonia,384
1570,tapat,376
1245,anghel,374
758,pusu,371
1348,kaya,370
937,tamung,369
220,gintu,367
207,ilug,366
204,libutad,366
3251,aaron,365
1883,jacob,364
649,kasunduan,364
2059,takut,364
442,lele,354
3222,daraptan,353
573,malapit,353
663,matulid,352
1040,pilak,351
682,bulan,348
259,dela,348
1741,mitmung,347
2259,kekatamung,344
1254,magsalita,343
617,akakit,342
772,ninuman,342
310,abalu,342
1713,oras,341
838,bansang,341
1124,saka,340
2556,arap,340
459,ko,339
1270,daratang,339
18392,qfig,335
167,aldong,334
309,mata,334
264,dininan,331
282,ilang,329
792,anggang,327
1816,kekatamu,326
23,babo,325
363,no,323
3616,pader,323
1398,ikayu,322
12452,alagad,320
366,kasakitan,320
1117,labanan,320
665,malinis,319
817,purian,318
345,obat,317
1333,agad,317
350,bukud,313
1488,katutuan,313
279,ima,311
799,alak,309
944,ngening,309
934,ngarang,309
268,kinua,309
3531,libu,308
298,pekibat,306
38,bengi,306
51,milyari,305
160,anam,303
1432,iligtas,299
1916,kaniting,299
1268,abraham,297
410,papunta,297
2112,maygit,294
250,kabud,293
2388,pekapun,293
2762,opisyal,293
1320,sikanan,292
