,word,frequency,probability
6,ing,42040,0.04886366410066566
0,king,37257,0.04330431811128688
14,na,35069,0.040761175935923974
8,at,32775,0.03809482851806177
4,ning,25609,0.02976568919966572
74,ding,17753,0.020634553491415734
73,la,15914,0.018497058765413733
19,ya,15743,0.018298303138362976
47,da,11808,0.013724599088978594
216,nang,11255,0.013081839663486965
146,ku,10664,0.012394912320872944
81,karing,9633,0.011196566990525982
245,mu,8546,0.009933132098103918
48,ring,6359,0.007391152236349499
418,ginu,6157,0.007156364887435739
5,dios,6034,0.007013400313592212
85,lang,5906,0.006864624171706264
3,ne,5872,0.00682510550901781
144,yu,5569,0.006472924485647171
11,yang,5541,0.006440379704609619
57,metung,4602,0.005348967226243182
241,kang,4480,0.005207164966008138
218,nung,4417,0.005133939208673649
359,anak,4155,0.004829413043250852
49,ban,4105,0.004771297362826654
129,tau,3861,0.004487692842356568
246,ka,3498,0.00406577300247689
182,oneng,3473,0.004036715162264792
110,kayu,3438,0.003996034185967853
166,uling,3212,0.003733351310450478
35,neng,3085,0.003585737482173015
1018,ari,2884,0.003352112446867739
105,sablang,2839,0.003299808334485961
273,iti,2766,0.003214959441066632
180,taung,2706,0.0031452206245575942
255,kung,2702,0.0031405713701236587
197,karin,2693,0.003130110547647303
103,inya,2642,0.003070832553614621
287,ra,2581,0.0029999314234970993
108,karela,2566,0.00298249671936984
265,man,2559,0.002974360524110452
142,pa,2422,0.00281512355974815
173,alang,2380,0.002766306388191824
31,mayap,2294,0.002666347417862203
147,kekayu,2114,0.0024571309683350906
343,kanaku,2055,0.0023885544654345366
323,inyang,2052,0.0023850675246090847
25,ngana,2044,0.0023757690157412133
10,ala,2018,0.00234554886192063
36,aldo,1997,0.002321140276142467
2349,israel,1947,0.002263024595718269
63,kanita,1930,0.0022432652643740417
492,keka,1893,0.0022002596608601353
751,para,1886,0.0021921234656007474
32,kaybat,1837,0.0021351700987850336
284,mung,1824,0.002120060021874742
238,nganang,1773,0.00206078202784206
89,de,1760,0.002045671950931769
1064,memalen,1709,0.001986393956899087
37,naman,1703,0.001979420075248183
157,atyu,1674,0.0019457129806021481
337,kekang,1659,0.0019282782764748888
374,uli,1647,0.0019143305131730812
4644,jesus,1629,0.00189340886822037
307,anti,1591,0.0018492409510979795
300,sinabi,1556,0.001808559974801041
544,karelang,1536,0.0017853137026313617
79,maging,1528,0.0017760151937634902
505,siudad,1439,0.0016725692826084176
344,ke,1382,0.001606317406924832
27,ating,1375,0.0015981812116654442
598,dang,1343,0.0015609871761939577
840,bansa,1337,0.001554013294543054
7,banua,1319,0.0015330916495903426
99,dakal,1311,0.0015237931407224709
383,angga,1303,0.0015144946318545992
289,ngeni,1296,0.0015063584365952115
456,aku,1254,0.0014575412650388853
155,makanyan,1211,0.001407561779874075
172,ginung,1210,0.001406399466265591
1010,sabian,1209,0.001405237152657107
620,ngan,1201,0.0013959386437892352
490,itang,1196,0.0013901270757468156
136,lalaki,1182,0.0013738546852280402
183,atin,1154,0.0013413099041904894
58,lugal,1148,0.0013343360225395854
42,ita,1140,0.0013250375136717137
301,mi,1140,0.0013250375136717137
61,gabun,1139,0.0013238752000632298
132,ila,1127,0.0013099274367614224
432,ain,1127,0.0013099274367614224
370,me,1125,0.0013076028095444544
409,dalan,1114,0.0012948173598511309
9,yatu,1104,0.0012831942237662912
125,pang,1097,0.0012750580285069036
296,kayung,1081,0.0012564610107711602
306,balu,1071,0.0012448378746863207
396,sukat,1060,0.0012320524249929971
189,ibat,1056,0.0012274031705590612
